time,domain,noError,totalCount,aCount,cnameCount,mxCount,txtCount,clientipCount,subdomainCount,
20230601,zhuandayup.cn,0,1,1,0,0,0,1,1,
20230602,zhuandayup.cn,0,0,0,0,0,0,0,0,
20230603,zhuandayup.cn,0,0,0,0,0,0,0,0,
20230604,zhuandayup.cn,0,3,3,0,0,0,1,1,
20230605,zhuandayup.cn,0,0,0,0,0,0,0,0,
20230606,zhuandayup.cn,0,22,11,0,0,0,2,1,
20230607,zhuandayup.cn,0,4,2,0,0,0,1,2,
20230608,zhuandayup.cn,0,0,0,0,0,0,0,0,
20230609,zhuandayup.cn,0,0,0,0,0,0,0,0,
20230610,zhuandayup.cn,0,0,0,0,0,0,0,0,
20230601,xaxzhep.com,1,7,5,0,0,0,3,2,
20230602,xaxzhep.com,1,2,1,0,0,0,2,1,
20230603,xaxzhep.com,1,1,0,0,0,0,1,1,
20230604,xaxzhep.com,1,5,2,0,0,0,3,3,
20230605,xaxzhep.com,0,0,0,0,0,0,0,0,
20230606,xaxzhep.com,1,2,2,0,0,0,1,1,
20230607,xaxzhep.com,1,3,2,0,0,0,2,3,
20230608,xaxzhep.com,0,0,0,0,0,0,0,0,
20230609,xaxzhep.com,1,28,15,0,0,0,11,3,
20230610,xaxzhep.com,1,6,4,0,0,0,3,4,
20230601,dzzpgs.cn,1,14,12,0,1,0,11,2,
20230602,dzzpgs.cn,1,2,2,0,0,0,2,1,
20230603,dzzpgs.cn,0,0,0,0,0,0,0,0,
20230604,dzzpgs.cn,1,1861,934,0,0,0,816,2,
20230605,dzzpgs.cn,0,0,0,0,0,0,0,0,
20230606,dzzpgs.cn,1,44,23,0,0,0,7,1,
20230607,dzzpgs.cn,1,1940,972,0,0,0,826,1,
20230608,dzzpgs.cn,1,2,1,0,0,0,1,1,
20230609,dzzpgs.cn,1,2,1,0,0,0,1,1,
20230610,dzzpgs.cn,1,5,3,1,0,0,3,2,
20230601,deyubao.com,1,241,192,0,0,0,58,3,
20230602,deyubao.com,1,256,201,0,0,0,69,3,
20230603,deyubao.com,1,267,203,0,0,0,73,3,
20230604,deyubao.com,1,263,197,0,0,0,63,2,
20230605,deyubao.com,1,251,185,0,1,0,59,2,
20230606,deyubao.com,1,295,217,0,0,0,64,2,
20230607,deyubao.com,1,274,215,0,0,0,69,2,
20230608,deyubao.com,1,256,198,0,0,0,56,2,
20230609,deyubao.com,1,237,200,0,0,0,47,2,
20230610,deyubao.com,1,192,162,0,0,0,39,2,
20230601,whslsz.cn,1,1,1,0,0,0,1,1,
20230602,whslsz.cn,0,0,0,0,0,0,0,0,
20230603,whslsz.cn,1,2,1,0,0,0,1,1,
